,ID,Sentence,Actual Aspect Terms,Actual Sentiment Terms,Actual Polarities,Generated Aspect Terms,Generated Sentiment Terms,Generated Polarities
0,1706,I had the mango chicken and i can't go on to tell you how delicious that was and the presentation was beatiful.,"['mango chicken', 'presentation']","[[], []]","['positive', 'positive']","['mango chicken', 'presentation']","[['had'], ['beatiful']]","[None, None]"
1,1987,"I've had the chicken with garlic sauce, chicken with black bean sauce, and hunan chicken.","['chicken with garlic sauce', 'chicken with black bean sauce', 'hunan chicken']","[[], [], []]","['neutral', 'neutral', 'neutral']","['garlic sauce', 'sauce chicken', 'chicken sauce', 'bean sauce', 'sauce sauce', 'hunan chicken', 'chicken sauce']","[['black'], ['black', 'had'], ['had', 'black'], ['black'], ['black', 'black'], ['had'], ['had', 'black']]","[None, None, None, None, None, None, None]"
2,652,My friend got the mushroom pizza which tasted better.,['mushroom pizza'],[[]],['positive'],"['friend', 'mushroom pizza']","[['got'], ['got']]","[None, None]"
3,142,What came to our table was burned beyond recognition and stringy.,['table'],[[]],['neutral'],['recognition'],[['stringy']],[None]
4,354,"otherwise, good stuff for late nite eats.","['stuff', 'eats']","[[], []]","['positive', 'positive']","['stuff', 'eats']","[['good'], ['late']]","[None, None]"
5,1391,Kosher dills are the perfect compliment for your unforgetable sandwich and they give you plenty of them.,"['Kosher dills', 'sandwich']","[[], []]","['positive', 'positive']","['sandwich compliment', 'plenty']","[['unforgetable', 'perfect'], ['give']]","[None, None]"
6,1868,"This wasn't the expected menu comprised only of pad thai and tom yum soup, but I thought that was what made the place so special.","['menu', 'pad thai', 'tom yum soup']","[[], [], []]","['neutral', 'neutral', 'neutral']","['menu', 'pad thai', 'tom thai', 'yum soup', 'soup thai', 'place']","[['expected'], [], [], [], [], ['made']]","[None, None, None, None, None, None]"
7,948,And I say snacking because it really is not set up to be a proper dinner.,"['dinner', 'snacking']","[[], []]","['negative', 'neutral']",['dinner'],[['proper']],[None]
8,1133,But they've done a really nice job of offering all the typical pizzeria faves plus some terrific specials like the Godmother pizza (a sort of traditional flat pizza with an olive oil-brushed crust and less tomato sauce than usual).,"['Godmother pizza (a sort of traditional flat pizza with an olive oil-brushed crust and less tomato sauce than usual)', 'specials']","[[], []]","['positive', 'positive']","['job', 'faves', 'specials', 'Godmother pizza', 'pizza sort', 'olive crust', 'crust sort', 'tomato sauce', 'sauce crust']","[['nice', 'done'], ['typical', 'offering'], ['terrific'], ['traditional', 'flat'], ['traditional', 'flat'], ['brushed'], ['brushed'], ['less'], ['less', 'brushed']]","[None, None, None, None, None, None, None, None, None]"
9,700,The atmosphere is great!!!,['atmosphere'],[[]],['positive'],['atmosphere'],[['great']],[None]
10,1432,Ballato's is consistently delicious authentic italian food.,['italian food'],[[]],['positive'],['food'],"[['delicious', 'authentic', 'italian']]",[None]
11,1867,My boyfriend ate tuna and it was cooked perfectly!,['tuna'],[[]],['positive'],"['boyfriend', 'tuna']","[['ate'], ['ate']]","[None, None]"
12,1858,"The cafe itself was really nice with comfortable outdoor chairs and tables, but the service could have been better.","['cafe', 'outdoor chairs', 'tables', 'service']","[[], [], [], []]","['positive', 'positive', 'positive', 'negative']","['cafe', 'chairs', 'service']","[['nice'], ['comfortable', 'outdoor'], ['better']]","[None, None, None]"
