,ID,Sentence,Actual Aspect Terms,Actual Sentiment Terms,Actual Polarities,Generated Aspect Terms,Generated Sentiment Terms,Generated Polarities
0,611,"Not only are the versions of these programs able to be saved, worked on and opened on both a PC and Mac, the versions of these programs on a Mac are graphically and functionally superior.","['programs', 'programs']","[[], []]","['positive', 'positive']",['versions'],"[['worked', 'able', 'superior']]",[None]
1,260,Sometimes you really have to tap the pad to get it to worki,['pad'],[[]],['negative'],['pad'],[['tap']],[None]
2,799,"-When battery life went to 4 hours or less, took it to the MacHouse Amsterdam for repair (26th of August).",['battery life'],[[]],['negative'],['battery life'],[['went']],[None]
3,397,"If you don't feel comfortable doing it yourself, just buy the case and be happy, plus it looks nice, I bought the white one from Best Buy.",['case'],[[]],['positive'],"['case', 'one', 'Buy']","[['buy'], ['white', 'bought'], ['Best']]","[None, None, None]"
4,834,/ awesome cooling system/ much better grafics card (ATI 5870) / 8GB RAM/ LED backlit screen...,"['cooling system', 'grafics card', 'LED backlit screen', '8GB RAM']","[[], [], [], []]","['positive', 'positive', 'positive', 'positive']","['cooling system', 'card', 'GB RAM', 'RAM screen', 'backlit screen', 'screen system']","[['awesome'], ['better'], [], ['LED'], ['LED'], ['LED', 'awesome']]","[None, None, None, None, None, None]"
5,25,"After numerous attempts of trying (including setting the clock in BIOS setup directly), I gave up(I am a techie).",['clock in BIOS setup'],[[]],['negative'],"['attempts', 'clock', 'BIOS setup']","[['numerous'], ['setting'], []]","[None, None, None]"
6,111,"I wish it had a webcam though, then it would be perfect!",['webcam'],[[]],['negative'],['webcam'],[['had']],[None]
7,16,When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,"['software', 'system']","[[], []]","['neutral', 'negative']","['everything', 'system']","[['had'], ['crashed']]","[None, None]"
8,862,They are by far the easiest systems to actually learn about computers with.,['systems'],[[]],['positive'],['systems'],[['easiest']],[None]
9,368,The Nortons virus scan is only for a very short time unlike others that usually are good for a year.,['Nortons virus scan'],[[]],['negative'],"['virus scan', 'time']","[[], ['short']]","[None, None]"
10,205,"The OS is also very user friendly, even for those that switch from a PC, with a little practice you can take full advantage of this OS!","['OS', 'OS']","[[], []]","['positive', 'positive']","['practice', 'OS advantage']","[['little'], ['friendly', 'full', 'take']]","[None, None]"
11,148,The service tech said he had tried to duplicate the damage and wasn't able to recreate it therefore it had to be their defect.,['service tech'],[[]],['negative'],"['service tech', 'damage']","[['said'], ['duplicate']]","[None, None]"
